Datum,Schifffahrt
2015-01-27,285513
2015-01-28,285513
2015-01-29,285513
2015-01-30,285513
2015-01-31,285513
2015-02-01,328016
2015-02-02,328016
2015-02-03,328016
2015-02-04,328016
2015-02-05,328016
2015-02-06,328016
2015-02-07,328016
2015-02-08,328016
2015-02-09,328016
2015-02-10,328016
2015-02-11,328016
2015-02-12,328016
2015-02-13,328016
2015-02-14,328016
2015-02-15,328016
2015-02-16,328016
2015-02-17,328016
2015-02-18,328016
2015-02-19,328016
2015-02-20,328016
2015-02-21,328016
2015-02-22,328016
2015-02-23,328016
2015-02-24,328016
2015-02-25,328016
2015-02-26,328016
2015-02-27,328016
2015-02-28,328016
2015-03-01,380606
2015-03-02,380606
2015-03-03,380606
2015-03-04,380606
2015-03-05,380606
2015-03-06,380606
2015-03-07,380606
2015-03-08,380606
2015-03-09,380606
2015-03-10,380606
2015-03-11,380606
2015-03-12,380606
2015-03-13,380606
2015-03-14,380606
2015-03-15,380606
2015-03-16,380606
2015-03-17,380606
2015-03-18,380606
2015-03-19,380606
2015-03-20,380606
2015-03-21,380606
2015-03-22,380606
2015-03-23,380606
2015-03-24,380606
2015-03-25,380606
2015-03-26,380606
2015-03-27,380606
2015-03-28,380606
2015-03-29,380606
2015-03-30,380606
2015-03-31,380606
2015-04-01,534471
2015-04-02,534471
2015-04-03,534471
2015-04-04,534471
2015-04-05,534471
2015-04-06,534471
2015-04-07,534471
2015-04-08,534471
2015-04-09,534471
2015-04-10,534471
2015-04-11,534471
2015-04-12,534471
2015-04-13,534471
2015-04-14,534471
2015-04-15,534471
2015-04-16,534471
2015-04-17,534471
2015-04-18,534471
2015-04-19,534471
2015-04-20,534471
2015-04-21,534471
2015-04-22,534471
2015-04-23,534471
2015-04-24,534471
2015-04-25,534471
2015-04-26,534471
2015-04-27,534471
2015-04-28,534471
2015-04-29,534471
2015-04-30,534471
2015-05-01,710066
2015-05-02,710066
2015-05-03,710066
2015-05-04,710066
2015-05-05,710066
